,target,sms,sms_clean,num_characters,num_words
0,1,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go jurong point   crazy    available bugis n great world la e buffet     cine got amore wat    ,111,24
1,1,Ok lar... Joking wif u oni...,ok lar     joking wif u oni    ,29,8
2,0,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry 2 wkly comp win fa cup final tkts 21st may 2005   text fa 87121 receive entry question std txt rate t c  s apply 08452810075over18  s,155,31
3,1,U dun say so early hor... U c already then say...,u dun say early hor     u c already say    ,49,13
4,1,"Nah I don't think he goes to usf, he lives around here though",nah i n t think goes usf   lives around though,61,15
5,0,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",freemsg hey darling  s 3 week  s word back   i  d like fun still   tb ok   xxx std chgs send     1 50 rcv,147,40
6,1,Even my brother is not like to speak with me. They treat me like aids patent.,even brother like speak   they treat like aids patent  ,77,18
7,1,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per request   melle melle   oru minnaminunginte nurungu vettam     set callertune callers   press   9 copy friends callertune,160,32
8,0,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner     as valued network customer selected receivea   900 prize reward   to claim call 09061701461   claim code kl341   valid 12 hours  ,157,33
9,0,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,had mobile 11 months   u r entitled update latest colour mobiles camera free   call the mobile update co free 08002986030,154,31
10,1,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",i  m gon na home soon n t want talk stuff anymore tonight   k   i  ve cried enough today  ,109,28
11,0,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances win cash   from 100 20 000 pounds txt   csh11 send 87575   cost 150p   day   6days   16   tsandcs apply reply hl 4 info,136,34
12,0,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent   you 1 week free membership   100 000 prize jackpot   txt word   claim no   81010 t c www dbuk net lccltd pobox 4403ldnw1a7rw18,155,31
13,1,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,i  ve searching right words thank breather   i promise wo nt take help granted fulfil promise   you wonderful blessing times  ,196,42
14,1,I HAVE A DATE ON SUNDAY WITH WILL!!,i have a date on sunday with will    ,35,10
15,0,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub   to use credit   click wap link next txt message click     http   wap   xxxmobilemovieclub com n qjkgighjjgcbl,149,24
16,1,Oh k...i'm watching here:),oh k     i m watching   ,26,7
17,1,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember 2 spell name     yes   he v naughty make v wet  ,81,22
18,1,Fine if thats the way u feel. Thats the way its gota b,fine that s way u feel   that s way gota b,56,14
19,0,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",england v macedonia   nt miss goals   team news   txt ur national team 87077 eg england 87077 try   wales   scotland 4txt   ú1 20 poboxox36504w45wq 16  ,155,34
20,1,Is that seriously how you spell his name?,is seriously spell name  ,41,9
21,1,I‘m going to try for 2 months ha ha only joking,i m going try 2 months ha ha joking,47,11
22,1,So ü pay first lar... Then when is da stock comin...,so ü pay first lar     then da stock comin    ,52,13
23,1,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch go str lor   ard 3 smth lor   u finish ur lunch already  ,88,23
24,1,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff   alright way i meet sooner  ,57,13
25,1,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,just forced eat slice   i  m really hungry tho   this sucks   mark getting worried   he knows i  m sick i turn pizza   lol,144,35
26,1,Lol your always so convincing.,lol always convincing  ,30,6
27,1,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,did catch bus   are frying egg   did make tea   are eating mom  s left dinner   do feel love  ,134,34
28,1,"I'm back &amp; we're packing the car now, I'll let you know if there's room",i  m back   amp    re packing car   i  ll let know  s room,75,22
29,1,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh   work   i vaguely remember   what feel like   lol,64,16
30,1,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait  s still clear   sure sarcastic  s x n t want live us,130,30
31,1,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got 2 v apologetic   n fallen actin like spoilt child got caught   till 2   but wo n t go   not badly cheers   you  ,189,48
32,1,K tell me anything about you.,k tell anything  ,29,7
33,1,For fear of fainting with the of all that housework you just did? Quick have a cuppa,for fear fainting housework   quick cuppa,84,18
34,0,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks subscription ringtone uk mobile charged   5   month please confirm replying yes no   if reply no charged,158,33
35,1,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup     ok go home look timings msg ü     xuhui going learn 2nd may lesson 8,122,31
36,1,"Oops, I'll let you know when my roommate's done",oops   i  ll let know roommate  s done,47,12
37,1,I see the letter B on my car,i see letter b car,28,8
38,1,Anything lor... U decide...,anything lor     u decide    ,27,6
39,1,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello   how  s saturday go   i texting see  d decided anything tomo   not  m trying invite anything  ,155,37
40,1,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead watts   i wanted sure   do great weekend   abiola,82,20
